Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0805_2012Metric",29.2200,24.5900,-90.0000,bottom
"C2","1u","C_0805_2012Metric",30.7500,30.2000,0.0000,bottom
"C4","100n","C_0805_2012Metric",37.0000,21.8500,90.0000,bottom
"C5","10u","C_0805_2012Metric",40.8100,34.4900,0.0000,bottom
"C6","10u","C_0805_2012Metric",37.0000,34.4900,0.0000,bottom
"C7","1u","C_0805_2012Metric",30.7500,28.1900,0.0000,bottom
"C8","1u","C_0805_2012Metric",26.4200,23.8700,180.0000,bottom
"D1","LED","LED_1206_2",9.5100,32.5150,0.0000,bottom
"D2","LED","LED_1206_2",9.5450,25.1550,0.0000,bottom
"D3","LED","LED_1206_2",9.5350,22.1250,0.0000,bottom
"D4","LED","LED_1206_2",9.5200,19.0950,0.0000,bottom
"D5","LED","LED_1206_2",9.5450,28.1850,0.0000,bottom
"J1","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",27.0625,8.1350,180.0000,bottom
"J2","HEADER_2x05_PARALLEL","PinHeader_2x05_P2.54mm_Vertical",23.9600,49.8000,90.0000,top
"J3","HEADER_2x04_PARALLEL","PinHeader_2x04_P2.54mm_Vertical",40.0000,24.1000,0.0000,top
"J4","HEADER_2x03_PARALLEL","PinHeader_2x03_P2.54mm_Vertical",11.2750,38.9750,180.0000,top
"J5","HEADER_2x01","PinHeader_2x01_P2.54mm_Vertical",25.7850,16.5700,0.0000,top
"J6","HEADER_2x07_PARALLEL","PinHeader_2x07_P2.54mm_Vertical",14.2550,32.5250,0.0000,top
"JP1","Jumper_2_Open","PinHeader_2x01_P2.54mm_Vertical",24.6000,35.4825,0.0000,top
"JP3","Jumper_3_Bridged12","PinHeader_1x03_P2.54mm_Vertical",15.4900,39.8800,180.0000,top
"JP4","Jumper_2_Open","PinHeader_2x01_P2.54mm_Vertical",37.9600,29.8000,0.0000,top
"M1","HOLE","MountingHole_3mm",10.1600,50.8000,0.0000,top
"M2","HOLE","MountingHole_3mm",40.6400,50.8000,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",40.6400,10.1600,0.0000,top
"Q2","IRF7469PbF","SOIC-8_3.9x4.9mm_P1.27mm",34.2950,17.3650,0.0000,bottom
"R1","100k","R_0805_2012Metric",22.9275,32.6700,0.0000,bottom
"R2","100k","R_0805_2012Metric",24.4900,38.3000,0.0000,bottom
"R3","R","R_0805_2012Metric",11.3900,15.7825,90.0000,bottom
"R4","R","R_0805_2012Metric",7.4700,15.8125,90.0000,bottom
"R5","R","R_0805_2012Metric",9.4200,35.7900,-90.0000,bottom
"R6","R","R_0805_2012Metric",11.4700,35.8025,-90.0000,bottom
"R7","R","R_0805_2012Metric",7.3700,35.7900,-90.0000,bottom
"R8","1k","R_0805_2012Metric",35.6125,13.6000,180.0000,bottom
"R9","1k","R_0805_2012Metric",27.5000,20.0875,90.0000,bottom
"R10","100K","R_0805_2012Metric",29.5000,20.0875,90.0000,bottom
"R11","100R","R_0805_2012Metric",35.0000,21.8125,-90.0000,bottom
"R12","20k","R_0805_2012Metric",33.0000,21.9000,90.0000,bottom
"R13","R","R_0805_2012Metric",27.1525,47.4000,180.0000,bottom
"R14","R","R_0805_2012Metric",30.8925,47.3900,0.0000,bottom
"R15","R","R_0805_2012Metric",16.3800,36.0600,-90.0000,bottom
"R16","R","R_0805_2012Metric",14.1900,36.0625,-90.0000,bottom
"R17","R","R_0805_2012Metric",15.2700,10.6575,-90.0000,bottom
"R18","R","R_0805_2012Metric",17.3100,10.6475,-90.0000,bottom
"R19","R","R_0805_2012Metric",18.5700,14.1375,90.0000,bottom
"R20","R","R_0805_2012Metric",16.4800,14.1425,90.0000,bottom
"R21","R","R_0805_2012Metric",14.4100,14.1425,90.0000,bottom
"R22","100K","R_0805_2012Metric",35.1000,29.8000,-90.0000,bottom
"R23","100K","R_0805_2012Metric",27.9275,38.2900,0.0000,bottom
"U1","STUSB4500QTR","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",26.0250,29.0250,90.0000,bottom
"U2","NCP1117-3.3","SOT-223-3_TabPin2",38.9300,40.0000,90.0000,bottom
