Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,mfpn,mpn,ust_id,sim.pins,sim.type
1,"Unpolarized capacitor, small symbol",C_Small,C4,100n,C_0805_2012Metric,1,~,C0805 100n,C0805 100n,5c70984712875079b91f8b4c,,
2,"Unpolarized capacitor, small symbol",C_Small,C1C2C7C8,1u,C_0805_2012Metric,4,~,C0805 1u,C0805 1u,5c70984712875079b91f8b50,,
3,"Unpolarized capacitor, small symbol",C_Small,C5C6,10u,C_0805_2012Metric,2,~,C0805 10u,C0805 10u,5c70984712875079b91f8b53,,
4,Light emitting diode,LED,D3,BLUE,LED_1206_mill,1,~,KPTR-3216QBC-D,KPTR-3216QBC-D,650b4b9e462c6d9e7205459d,,
5,Light emitting diode,LED,D5,GREEN,LED_1206_mill,1,~,KPTR-3216CGCK,KPTR-3216CGCK,64ab2ec176c82a1d3b57875b,,
6,Light emitting diode,LED,D1D4,RED,LED_1206_mill,2,~,KPTR-3216SURCK,KPTR-3216SURCK,64ab2fba76c82a1d3b57877d,,
7,Light emitting diode,LED,D2,YELLOW,LED_1206_mill,1,~,KPTR-3216SYCK,KPTR-3216SYCK,650b4b13462c6d9e7205456a,,
8,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J4,HEADER_2x03_PARALLEL,PinHeader_2x03_P2.54mm_Vertical,1,,,,,,
9,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J3,HEADER_2x04_PARALLEL,PinHeader_2x04_P2.54mm_Vertical,1,,,,,,
10,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J2,HEADER_2x05_PARALLEL,PinHeader_2x05_P2.54mm_Vertical,1,,,,,,
11,"2x07 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x07_PARALLEL,J6,HEADER_2x07_PARALLEL,PinHeader_2x07_P2.54mm_Vertical,1,,,,,,
12,USB 2.0-only Type-C Receptacle connector,USBC_USB4105-GF-A,J1,USBC_USB4105-GF-A,USBC GCT_USB4105-GF-A,1,,USB4105-GF-A,USB4105-GF-A,5fa0f94612875025b397795e,,
13,1x02 2.54 mm pitch header,HEADER_1x02,J7,WAGO_2604-3102,TerminalBlock_WAGO_2604-3102_1x02_P5.00mm_Vertical,1,,2604-3102,2604-3102,,,
14,"Jumper, 2-pole, open",Jumper_2_Open,JP1,Jumper_2_Open,PinHeader_2x01_P2.54mm_Vertical,1,~,,,,,
15,"Jumper, 3-pole, pins 1+2 closed/bridged",Jumper_3_Bridged12,JP2,Jumper_3_Bridged12,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,~,,,,,
16,"Jumper, 3-pole, pins 1+2 closed/bridged",Jumper_3_Bridged12,JP3,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,1,~,,,,,
17,"P-MOSFET transistor, drain/source/gate, 40V, 9A, 12mOhm",IRF7469PbF,Q2,IRF9317TRPBF,SOIC-8_3.9x4.9mm_P1.27mm,1,,IRF9317TRPBF,IRF9317TRPBF,64f8de80f3b9d36f37fc9304,1=D 2=G 3=S,VDMOS
18,"Resistor, small symbol",R_Small,R3R5R6R7,62R,R_0805_2012Metric,4,~,R0805 62R 1%,R0805 62R 1%,5c70984512875079b91f8974,,
19,"Resistor, small symbol",R_Small,R11,100R,R_0805_2012Metric,1,~,R0805 100R 1%,R0805 100R 1%,5c70984512875079b91f8977,,
20,"Resistor, small symbol",R_Small,R8R9,1k,R_0805_2012Metric,2,~,R0805 1k 1%,R0805 1k 1%,5c70984512875079b91f898c,,
21,"Resistor, small symbol",R_Small,R13R14R15R16R17R18R19R20R21,4k7,R_0805_2012Metric,9,~,R0805 4k7 1%,R0805 4k7 1%,5c70984612875079b91f8995,,
22,"Resistor, small symbol",R_Small,R12,20k,R_0805_2012Metric,1,~,R0805 20k 1%,R0805 20k 1%,5c70984612875079b91f89a3,,
23,"Resistor, small symbol",R_Small,R1R10R22,100k,R_0805_2012Metric,3,~,R0805 100K 1%,R0805 100K 1%,639ed3d540d28a66c9e88a9e,,
24,"Resistor, small symbol",R_Small,R4,R10,R_0805_2012Metric,1,~,R0805 10R 1%,R0805 10R 1%,5c70984512875079b91f896d,,
25,"50mA Ultra-Low Quiescent Current LDO Voltage Regulator, 3.3V fixed output, TO-252/SOT-223",LM2936-3.3,U2,NCV4274CST33T3G,SOT-223-3_TabPin2,1,https://cz.mouser.com/datasheet/2/308/1/NCV4274C_D-2317600.pdf,NCV4274CST33T3G,NCV4274CST33T3G,650b45d7462c6d9e720544df,,
26,"Stand-alone USB PD controller (with sink Auto-run mode), QFN-24",STUSB4500QTR,U1,STUSB4500QTR,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,https://www.st.com/resource/en/datasheet/stusb4500.pdf,STUSB4500QTR,STUSB4500QTR,64f8daa2f3b9d36f37fc92aa,,
